GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), !! HV Discharge Amps(A),!! HV Volts(V),!! Inst. kPower(kW),!! Inst. kW/km(kW/km/h),!! Inst. kW/miles per hour(kW/mph),!! Inst. Miles per hour/kW(mph/kW),!! Inst. Power(W),!! Inst. W/ miles per hour(W/mph),!! Inst. W/km per hour(W/km/h),!! MGA Current(A),!! MGA kPower(kW),!! MGA Power(W),!! MGA Voltage(V),!! MGB Current(A),!! MGB kPower(kW),!! MGB Power(W),!! MGB Voltage(V),!! SOC (Usable)(%),!! SOC(Raw)(%),!!Inst km per hour /kW(km/h/kW),!Charger AC Current(A),!Charger AC Voltage(V),!Charger HV Current(A),!Charger HV Power(W),!Charger HV Voltage(V),!Control Module Voltage(V),!Engine Coolant Temp(°F),!Engine Oil Temp(°F),!EV km this Cycle(miles),!EV Miles this Cycle(ft),!Fuel Level(%),!Fuel Remaining(Gallons),!HV Battery Temp(°F),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°F),!PRNDL,!Speed kmh(kmh),!Tran Temp(°F),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),*Brake Tq(ft-lb),*Charging Limit?(W),*Clutch C2 Slip(RPM),*Clutch C3 Slip(RPM),*H2 Volt from VICM?(V),*M AC High Side Pressure(psi),*M Commanded Throttle Pos(%),*M Engine Torque(ft-lb),*M Engine Torque m1(ft-lb),*M Fuel System Status(B1),*M Intake Air Temp IAT(°F),*M Long Term Fuel Trip Bank 2(%),*M Long Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank2(%),*M Spark Advance(Deg),*Outside Temp Filtered(°F),*Transmission ISS  19 41(RPM),*Transmission Pressure,Engine Coolant Temperature(°F),Engine Load(%),Engine RPM(rpm),Evap System Vapour Pressure(Pa),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Intake Air Temperature(°F),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(cfm),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(ft-lb),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Wed Dec 31 10:26:51 PST 2025,31-Dec-2025 10:26:51.432,-116.98865752,32.84137367,6.210000038146973,3.7900924682617188,69.5301513671875,231.10000610351562,-3.37,7.75,3.38,-0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,228.12,231.1,32.84,-116.99,64,-,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,13.89,-,-,-,-,-,-,-,5.03,1.4,0.99,0,-,-,-
Wed Dec 31 10:26:52 PST 2025,31-Dec-2025 10:26:52.430,-116.98870687,32.8413394,5.840000152587891,3.7900924682617188,69.641357421875,223.6999969482422,-2.26,9.33,0.51,-0,-14.95,357.58,-5.35,-,0,0,-5345.79,0,0,-13.3,-4.4,0,331,37.35,12.36,12362.85,331,-10.78,14.12,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,228.48,223.7,32.84,-116.99,64,-,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,13.06,13.67,-,-,-,-,-,-,-,0.42,0.42,0,-,-,-
Wed Dec 31 10:26:53 PST 2025,31-Dec-2025 10:26:53.430,-116.98873444,32.84128032,7.489999771118164,3.7900924682617188,69.3714599609375,192.5,-0.07,10.35,-0.76,0.08,-14.95,357.58,-5.35,-,0,0,-5345.79,0,0,-13.3,-4.4,0,331,37.35,12.36,12362.85,331,-10.78,14.12,0,0,0,0,0,331.5,14.63,176,161.6,0,0,68.63,6.39,73.4,14.12,29480,-9.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,227.6,192.5,32.84,-116.99,65,-,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,16.75,13.67,-,-,-,-,-,-,-,1.41,1.41,0,-,-,-
Wed Dec 31 10:26:54 PST 2025,31-Dec-2025 10:26:54.430,-116.9887591,32.84120017,10.029999732971191,3.7900924682617188,69.4371337890625,189.8000030517578,-0.7,9.73,-0.01,0.01,-14.95,357.58,-5.35,-,0,0,-5345.79,0,0,-13.3,-4.4,0,331,37.35,12.36,12362.85,331,-10.78,14.12,0,0,0,0,0,331.5,14.63,176,161.6,0,0,68.63,6.39,73.4,14.12,29480,-9.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,227.81,189.8,32.84,-116.99,66,-,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,22.44,13.67,-,-,-,-,-,-,-,2.41,2.41,0,-,-,-
Wed Dec 31 10:26:55 PST 2025,31-Dec-2025 10:26:55.430,-116.98878015,32.84110129,12.229999542236328,3.7900924682617188,69.24554443359375,187.8000030517578,-0.7,9.73,-0.01,0.01,-14.95,357.58,-5.35,-,-78048.58,-12.81,-5345.79,-78.05,-127.28,-13.3,-4.4,0,331,37.35,12.36,12362.85,331,-10.78,14.12,-1755.98,0,0,0,0,331.5,14.63,176,161.6,0,0,68.63,6.39,73.4,14.12,29480,-9.4,3,42,-,11.58,701,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,227.18,187.8,32.84,-116.99,64,-,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,27.36,13.67,-,-,-,-,-,-,0.01,3.41,3.41,0,-,-,-
Wed Dec 31 10:26:56 PST 2025,31-Dec-2025 10:26:56.430,-116.98879059,32.84098675,13.520000457763672,3.7900924682617188,69.31787109375,182.89999389648438,-0.7,9.73,-0.01,0.01,-14.95,357.58,-5.35,-,-78048.58,-12.81,-5345.79,-78.05,-127.28,-13.3,-4.4,0,331,37.35,12.36,12362.85,331,-10.78,14.12,-1755.98,0,0,0,0,331.5,14.63,176,161.6,0,0,68.63,6.39,73.4,14.12,29480,-9.4,3,42,-,11.58,701,0,0,0,0,-,-,326.5,-0.15,48.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,227.42,182.9,32.84,-116.99,63,-,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,30.24,13.67,-,-,-,-,-,-,0.01,4.41,4.41,0,-,-,-
Wed Dec 31 10:26:57 PST 2025,31-Dec-2025 10:26:57.430,-116.98879385,32.84086687,13.899999618530273,3.7900924682617188,68.9290771484375,179.39999389648438,-0.7,9.73,-0.01,0.01,-14.95,357.58,-5.35,-,-78048.58,-12.81,-5345.79,-78.05,-127.28,-13.3,-4.4,0,331,37.35,12.36,12362.85,331,-10.78,14.12,-1755.98,0,0,0,0,331.5,14.63,176,161.6,0,0,68.63,6.39,73.4,14.12,29480,-9.4,3,42,-,11.58,701,0,0,0,0,-,-,326.5,-0.15,48.24,802.28,-,196,60.8,50.2,53.73,50.2,50.2,19.5,50.45,-,-,-,-,-,-,-,-,-,12.43,226.15,179.4,32.84,-116.99,62,-,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,31.09,13.67,-,-,-,-,-,-,0.03,5.41,5.41,0,-,-,-
Wed Dec 31 10:26:58 PST 2025,31-Dec-2025 10:26:58.431,-116.98879296,32.84074389,13.859999656677246,3.7900924682617188,68.9140625,178.89999389648438,0.12,10.07,1.27,0.05,-14.95,357.58,-5.35,-,-78048.58,-12.81,-5345.79,-78.05,-127.28,-13.3,-4.4,0,331,37.35,12.36,12362.85,331,-10.78,14.12,-1755.98,0,0,0,0,331.5,14.63,176,161.6,0,0,68.63,6.39,73.4,14.12,29480,-9.4,3,42,-,11.58,701,0,0,0,0,-,-,326.5,-0.15,48.24,802.28,-,196,60.8,50.2,53.73,50.2,50.2,19.5,50.45,-,3488,177.8,77.25,2749,-,84.31,55.69,-,12.43,226.1,178.9,32.84,-116.99,63,1.31,-,-,-,87.8,13.78,5.14,12.24,8.17,213.21,100,0,0,-,-,31,32.31,45.49,22,-,5.14,19.47,12.08,0.03,6.73,6.73,0,-0.92,14.58,-
Wed Dec 31 10:26:59 PST 2025,31-Dec-2025 10:26:59.432,-116.98878316,32.84061206,14.579999923706055,3.7900924682617188,68.6295166015625,174.89999389648438,-0.62,9.25,1.19,-0.03,-14.95,357.58,-5.35,-,-78048.58,-12.81,-5345.79,-78.05,-127.28,-13.3,-4.4,0,331,37.35,12.36,12362.85,331,-10.78,14.12,-1755.98,0,0,0,0,331.5,14.63,176,161.6,0,0,68.63,6.39,73.4,14.12,29480,-9.4,3,42,-,11.58,701,0,0,0,0,-,-,326.5,-0.15,48.24,802.28,-,196,60.8,50.2,53.73,50.2,50.2,19.5,50.45,-,3488,177.8,77.25,2749,-,84.31,55.69,2918.16,12.43,225.16,174.9,32.84,-116.99,64,1.31,-,-,-,87.8,13.78,5.14,12.24,8.17,213.21,100,0,0,-,-,32.61,32.31,45.49,22,-,5.14,19.47,12.08,0.05,7.41,7.41,0,-0.92,14.58,14.4
Wed Dec 31 10:27:00 PST 2025,31-Dec-2025 10:27:00.431,-116.98876385,32.84048651,14.350000381469727,3.7900924682617188,68.31329345703125,172.60000610351562,-1.2,9.66,0.49,0.01,-14.95,357.58,-5.35,-,-78048.58,-12.81,-5345.79,-78.05,-127.28,-13.3,-4.4,0,331,37.35,12.36,12362.85,331,-10.78,14.12,-1755.98,0,0,0,0,331.5,14.63,176,161.6,0,0,68.63,6.39,73.4,14.12,29480,-9.4,3,42,-,11.58,701,0,0,0,0,-,-,326.5,-0.15,48.24,802.28,-,196,60.8,50.2,53.73,50.2,50.2,19.5,50.45,-,3488,177.8,77.25,2749,-144,84.31,55.69,2918.16,12.43,224.12,172.6,32.84,-116.99,62,1.31,-,14.12,14.12,87.8,13.78,5.14,12.24,8.17,213.21,100,0,0,26.27,87,32.1,32.31,45.49,22,-,5.14,19.47,12.08,0.05,8.81,8.81,0,-0.92,14.58,14.4
