GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), !! HV Discharge Amps(A),!! HV Volts(V),!! Inst. kPower(kW),!! Inst. kW/km(kW/km/h),!! Inst. kW/miles per hour(kW/mph),!! Inst. Miles per hour/kW(mph/kW),!! Inst. Power(W),!! Inst. W/ miles per hour(W/mph),!! Inst. W/km per hour(W/km/h),!! MGA Current(A),!! MGA kPower(kW),!! MGA Power(W),!! MGA Voltage(V),!! MGB Current(A),!! MGB kPower(kW),!! MGB Power(W),!! MGB Voltage(V),!! SOC (Usable)(%),!! SOC(Raw)(%),!!Inst km per hour /kW(km/h/kW),!Charger AC Current(A),!Charger AC Voltage(V),!Charger HV Current(A),!Charger HV Power(W),!Charger HV Voltage(V),!Control Module Voltage(V),!Engine Coolant Temp(°F),!Engine Oil Temp(°F),!EV km this Cycle(miles),!EV Miles this Cycle(ft),!Fuel Level(%),!Fuel Remaining(Gallons),!HV Battery Temp(°F),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°F),!PRNDL,!Speed kmh(kmh),!Tran Temp(°F),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),*Brake Tq(ft-lb),*Charging Limit?(W),*Clutch C2 Slip(RPM),*Clutch C3 Slip(RPM),*H2 Volt from VICM?(V),*M AC High Side Pressure(psi),*M Commanded Throttle Pos(%),*M Engine Torque(ft-lb),*M Engine Torque m1(ft-lb),*M Fuel System Status(B1),*M Intake Air Temp IAT(°F),*M Long Term Fuel Trip Bank 2(%),*M Long Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank2(%),*M Spark Advance(Deg),*Outside Temp Filtered(°F),*Transmission ISS  19 41(RPM),*Transmission Pressure,Engine Coolant Temperature(°F),Engine Load(%),Engine RPM(rpm),Evap System Vapour Pressure(Pa),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Intake Air Temperature(°F),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(cfm),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(ft-lb),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Wed Dec 31 09:54:26 PST 2025,31-Dec-2025 09:54:26.578,-116.95242621,32.80120863,1.9700000286102295,5.6777496337890625,101.28594970703125,228.60000610351562,-0.31,9.61,2.66,0.04,18.9,349.89,6.61,-,0,0,6612.93,0,0,-,0,0,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.63,332.3,228.6,32.8,-116.95,40,0.06,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,4.41,4.35,-,-,-,-,-,-,-,0,0,0,-,-,-
Wed Dec 31 09:54:27 PST 2025,31-Dec-2025 09:54:27.577,-116.95243806,32.80119308,1.7999999523162842,3.9019079208374023,101.88336181640625,202.10000610351562,-0.4,9.43,2.74,0.02,18.9,349.89,6.61,-,0,0,6612.93,0,0,-0.1,-0.03,0,333,-1,-0.33,-332,332,-8.98,15.29,0,0,0,0,0,333,15.02,75.2,75.2,0,0,39.61,3.69,69.8,15.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.8,334.26,202.1,32.8,-116.95,43,0.06,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,4.03,4.35,-,-,-,-,-,-,-,0.81,0.81,0,-,-,-
Wed Dec 31 09:54:28 PST 2025,31-Dec-2025 09:54:28.577,-116.95244484,32.80118608,0.5299999713897705,3.7900924682617188,101.1759033203125,227.10000610351562,-0.29,9.55,1.67,0.01,18.9,349.89,6.61,-,4055050.5,0.25,6612.93,4055.05,6612.93,-0.1,-0.03,0,333,-1,-0.33,-332,332,-8.98,15.29,54.02,0,0,0,0,333,15.02,75.2,75.2,0,0,39.61,3.69,69.8,15.29,29480,-9.4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,331.94,227.1,32.8,-116.95,45,0.06,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,1.19,4.35,-,-,-,-,-,-,-,1.82,1.82,0,-,-,-
Wed Dec 31 09:54:29 PST 2025,31-Dec-2025 09:54:29.577,-116.95244728,32.80118422,0.23999999463558197,3.7900924682617188,100.73626708984375,227.1999969482422,-0.29,9.55,1.67,0.01,18.9,349.89,6.61,-,4055050.5,0.25,6612.93,4055.05,6612.93,-0.1,-0.03,0,333,-1,-0.33,-332,332,-8.98,15.29,54.02,0,0,0,0,333,15.02,75.2,75.2,0,0,39.61,3.69,69.8,15.29,29480,-9.4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,330.5,227.2,32.8,-116.95,46,0.06,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,0.54,4.35,-,-,-,-,-,-,-,2.82,2.82,0,-,-,-
Wed Dec 31 09:54:30 PST 2025,31-Dec-2025 09:54:30.577,-116.95244975,32.80118096,0.36000001430511475,3.7900924682617188,100.0093994140625,227.10000610351562,-0.29,9.55,1.67,0.01,18.9,349.89,6.61,-,4055050.5,0.25,6612.93,4055.05,6612.93,-0.1,-0.03,0,333,-1,-0.33,-332,332,-8.98,15.29,54.02,0,0,0,0,333,15.02,75.2,75.2,0,0,39.61,3.69,69.8,15.29,29480,-9.4,3,1,-,11.39,1531,24,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,328.11,227.1,32.8,-116.95,47,0.06,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,0.81,4.35,-,-,-,-,-,-,-,3.81,3.81,0,-,-,-
Wed Dec 31 09:54:31 PST 2025,31-Dec-2025 09:54:31.577,-116.95245328,32.80117513,0.6100000143051147,3.7900924682617188,100.111572265625,187.89999389648438,-0.29,9.55,1.67,0.01,18.9,349.89,6.61,-,4055050.5,0.25,6612.93,4055.05,6612.93,-0.1,-0.03,0,333,-1,-0.33,-332,332,-8.98,15.29,54.02,0,0,0,0,333,15.02,75.2,75.2,0,0,39.61,3.69,69.8,15.29,29480,-9.4,3,1,-,11.39,1531,24,0,0,0,-,-,317.5,-0.15,41.57,-0.18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,328.45,187.9,32.8,-116.95,48,0.06,-,-,-,-,-,-,12.24,8.17,-,100,0,0,-,-,1.36,4.35,-,-,-,-,-,-,-,4.82,4.82,0,-,-,-
Wed Dec 31 09:54:32 PST 2025,31-Dec-2025 09:54:32.579,-116.95245772,32.80116159,1.8799999952316284,3.7900924682617188,99.825439453125,185.8000030517578,-1.65,9.85,1.02,0.04,18.9,349.89,6.61,-,4055050.5,0.25,6612.93,4055.05,6612.93,-0.1,-0.03,0,333,-1,-0.33,-332,332,-8.98,15.29,54.02,0,0,0,0,333,15.02,75.2,75.2,0,0,39.61,3.69,69.8,15.29,29480,-9.4,3,1,-,11.39,1531,24,0,0,0,-,-,317.5,-0.15,41.57,-0.18,-,0,53.6,50.2,57.25,50.2,50.2,0,50.22,-,5920,75.2,-,-,-,50.98,67.88,-,12.43,327.51,185.8,32.8,-116.95,49,0.06,-,-,-,-,14.5,-,12.24,8.17,-,100,0,0,-,-,4.21,4.35,-,-,-,-,-,-,-,6.39,6.39,0,-0.2,-,-
Wed Dec 31 09:54:33 PST 2025,31-Dec-2025 09:54:33.579,-116.95245888,32.80113739,3.1500000953674316,3.7900924682617188,99.694091796875,175.5,-1.37,10.38,0.1,0.09,18.9,349.89,6.61,-,4055050.5,0.25,6612.93,4055.05,6612.93,-0.1,-0.03,0,333,-1,-0.33,-332,332,-8.98,15.29,54.02,0,0,0,0,333,15.02,75.2,75.2,0,0,39.61,3.69,69.8,15.29,29480,-9.4,3,1,-,11.39,1531,24,0,0,0,-,-,317.5,-0.15,41.57,-0.18,-,0,53.6,50.2,57.25,50.2,50.2,0,50.22,-,5920,75.2,0,0,-,50.98,67.88,55.11,12.43,327.08,175.5,32.8,-116.95,50,2.01,-,-,-,75.2,14.5,217.67,12.24,8.17,0,100,0,0,-,-,7.05,6.21,32.55,0,-,13.46,7.43,31.67,-,7.24,7.24,0,-0.2,14.95,14.7
Wed Dec 31 09:54:34 PST 2025,31-Dec-2025 09:54:34.580,-116.95244796,32.80110661,3.9200000762939453,3.7900924682617188,99.6895751953125,157.0,-2.53,10.97,4.13,0.24,18.9,349.89,6.61,-,4055050.5,0.25,6612.93,4055.05,6612.93,-0.1,-0.03,0,333,-1,-0.33,-332,332,-8.98,15.29,54.02,0,0,0,0,333,15.02,75.2,75.2,0,0,39.61,3.69,69.8,15.29,29480,-9.4,3,1,-,11.39,1531,24,0,0,0,-,-,317.5,-0.15,41.57,-0.18,-,0,53.6,50.2,57.25,50.2,50.2,0,50.22,-,5920,75.2,0,0,-4137.75,50.98,67.88,55.11,12.43,327.07,157,32.8,-116.95,51,2.01,-,15.29,15.29,75.2,14.5,217.67,12.24,8.17,0,100,0,0,22.35,13,8.77,6.21,32.55,0,-,13.46,7.43,31.67,-,8.35,8.35,0,-0.2,14.95,14.7
Wed Dec 31 09:54:35 PST 2025,31-Dec-2025 09:54:35.579,-116.95241709,32.80107602,4.800000190734863,3.7900924682617188,99.5701904296875,134.1999969482422,-1.78,11.47,-1.33,0.21,54,360.64,19.47,-,11941821,0.08,19474.59,11941.82,19474.59,-0.5,-0.16,0,324,38.15,12.36,12360.6,324,-8.98,15.29,149.73,0,0,0,0,333,15.02,75.2,75.2,0,0,39.61,3.69,69.8,15.29,29480,-9.4,3,1,-,11.39,1531,24,0,0,0,-,-,317.5,-0.15,41.57,-0.18,-,0,53.6,50.2,57.25,50.2,50.2,0,50.22,-,5920,75.2,0,0,-4137.75,50.98,67.88,55.11,12.43,326.67,134.2,32.8,-116.95,51,2.01,-,15.29,15.29,75.2,14.5,217.67,12.24,8.17,0,100,0,0,22.35,13,10.74,6.21,32.55,0,-,13.46,7.43,31.67,-,8.82,8.82,0,-0.2,14.95,14.7
