GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), !! HV Discharge Amps(A),!! HV Volts(V),!! Inst. kPower(kW),!! Inst. kW/km(kW/km/h),!! Inst. kW/miles per hour(kW/mph),!! Inst. Miles per hour/kW(mph/kW),!! Inst. Power(W),!! Inst. W/ miles per hour(W/mph),!! Inst. W/km per hour(W/km/h),!! MGA Current(A),!! MGA kPower(kW),!! MGA Power(W),!! MGA Voltage(V),!! MGB Current(A),!! MGB kPower(kW),!! MGB Power(W),!! MGB Voltage(V),!! SOC (Usable)(%),!! SOC(Raw)(%),!!Inst km per hour /kW(km/h/kW),!Charger AC Current(A),!Charger AC Voltage(V),!Charger HV Current(A),!Charger HV Power(W),!Charger HV Voltage(V),!Control Module Voltage(V),!Engine Coolant Temp(°F),!Engine Oil Temp(°F),!EV km this Cycle(miles),!EV Miles this Cycle(ft),!Fuel Level(%),!Fuel Remaining(Gallons),!HV Battery Temp(°F),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°F),!PRNDL,!Speed kmh(kmh),!Tran Temp(°F),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),*Brake Tq(ft-lb),*Charging Limit?(W),*Clutch C2 Slip(RPM),*Clutch C3 Slip(RPM),*H2 Volt from VICM?(V),*M AC High Side Pressure(psi),*M Commanded Throttle Pos(%),*M Engine Torque(ft-lb),*M Engine Torque m1(ft-lb),*M Fuel System Status(B1),*M Intake Air Temp IAT(°F),*M Long Term Fuel Trip Bank 2(%),*M Long Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank2(%),*M Spark Advance(Deg),*Outside Temp Filtered(°F),*Transmission ISS  19 41(RPM),*Transmission Pressure,Engine Coolant Temperature(°F),Engine Load(%),Engine RPM(rpm),Evap System Vapour Pressure(Pa),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Intake Air Temperature(°F),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(cfm),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(ft-lb),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Mon Jan 05 05:01:31 PST 2026,05-Jan-2026 05:01:31.593,-117.12964087,32.7135954,32.65999984741211,3.7900924682617188,9.017852783203125,73.69999694824219,0.14,9.89,1.35,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.43,29.59,73.7,32.71,-117.13,57,-,-,-,-,-,-,-,13.54,7.38,-,0,100,0,-,-,73.06,73.94,-,-,-,-,-,-,0,0.21,0.21,0,-,-,-
Mon Jan 05 05:01:32 PST 2026,05-Jan-2026 05:01:32.593,-117.12931001,32.71368109,32.90999984741211,3.7900924682617188,10.291748046875,72.9000015258789,-0.47,9.63,0.76,0.01,60,358.23,21.49,-,0,0,21494.06,0,0,44.05,13.57,0,308,5.95,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105.8,-,-,-,38.04,-,-,12.43,33.77,72.9,32.71,-117.13,58,0.88,-,-,-,60.8,-,-,13.54,7.38,-,0,100,0,-,-,73.62,73.94,-,-,-,-,-,-,0.01,1.07,1.07,0,-,-,-
Mon Jan 05 05:01:33 PST 2026,05-Jan-2026 05:01:33.594,-117.12897523,32.7137682,33.09000015258789,3.7900924682617188,10.338470458984375,71.80000305175781,-1.43,8.38,3.03,-0.06,60,358.23,21.49,-,0,0,21494.06,0,0,44.05,13.57,0,308,5.95,1.83,1832.6,308,-11.98,13.33,0,0,0,0,0,311,14.23,107.6,75.2,0,0,38.43,3.58,60.8,13.33,29480,-9.4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105.8,-,-,-,38.04,-,-,12.43,33.92,71.8,32.71,-117.13,58,0.88,-,-,-,60.8,-,-,13.54,7.38,-,0,100,0,-,-,74.02,73.94,-,-,-,-,-,-,0.03,1.73,1.73,0,-,-,-
Mon Jan 05 05:01:34 PST 2026,05-Jan-2026 05:01:34.594,-117.1286406,32.71386646,33.290000915527344,3.7900924682617188,10.689056396484375,69.9000015258789,-1.43,8.38,3.03,-0.06,60,358.23,21.49,-,108926.94,9.18,21494.06,108.93,177.64,44.05,13.57,0,308,5.95,1.83,1832.6,308,-11.98,13.33,20266.06,0,0,0,0,311,14.23,107.6,75.2,0,0,38.43,3.58,60.8,13.33,29480,-9.4,3,121,-,11.71,597,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105.8,-,-,-,38.04,-,-,12.43,35.07,69.9,32.71,-117.13,59,0.88,-,-,-,60.8,-,-,13.54,7.38,-,0,100,0,-,-,74.47,73.94,-,-,-,-,-,-,0.05,2.72,2.72,0,-,-,-
Mon Jan 05 05:01:35 PST 2026,05-Jan-2026 05:01:35.594,-117.12830589,32.71396931,33.5,3.7900924682617188,10.704559326171875,69.80000305175781,-1.43,8.38,3.03,-0.06,60,358.23,21.49,-,108926.94,9.18,21494.06,108.93,177.64,44.05,13.57,0,308,5.95,1.83,1832.6,308,-11.98,13.33,20266.06,0,0,0,0,311,14.23,107.6,75.2,0,0,38.43,3.58,60.8,13.33,29480,-9.4,3,121,-,11.71,597,0,0,0,0,-,-,301,-0.15,44.31,991.1,-,-,-,-,-,-,-,-,-,-,-,105.8,-,-,-,38.04,-,-,12.43,35.12,69.8,32.71,-117.13,59,0.88,-,-,-,60.8,-,-,13.54,7.38,-,0,100,0,-,-,74.94,73.94,-,-,-,-,-,-,0.07,3.73,3.73,0,-,-,-
Mon Jan 05 05:01:36 PST 2026,05-Jan-2026 05:01:36.593,-117.12796942,32.71407441,33.720001220703125,3.7900924682617188,10.46905517578125,69.69999694824219,-1.43,8.38,3.03,-0.06,60,358.23,21.49,-,108926.94,9.18,21494.06,108.93,177.64,44.05,13.57,0,308,5.95,1.83,1832.6,308,-11.98,13.33,20266.06,0,0,0,0,311,14.23,107.6,75.2,0,0,38.43,3.58,60.8,13.33,29480,-9.4,3,121,-,11.71,597,0,0,0,0,-,-,301,-0.15,44.31,991.1,-,196,46.4,50.2,54.9,50.2,50.2,33,47.3,-,5120,105.8,-,-,-,38.04,-,-,12.43,34.35,69.7,32.71,-117.13,59,0.88,-,-,-,60.8,-,-,13.54,7.38,-,0,100,0,-,-,75.43,73.94,-,-,-,-,-,-,0.09,4.73,4.73,0,-,-,-
Mon Jan 05 05:01:37 PST 2026,05-Jan-2026 05:01:37.594,-117.12763124,32.71417656,33.77000045776367,3.7900924682617188,10.305908203125,70.0999984741211,-0.7,9.39,2.02,0,60,358.23,21.49,-,108926.94,9.18,21494.06,108.93,177.64,44.05,13.57,0,308,5.95,1.83,1832.6,308,-11.98,13.33,20266.06,0,0,0,0,311,14.23,107.6,75.2,0,0,38.43,3.58,60.8,13.33,29480,-9.4,3,121,-,11.71,597,0,0,0,0,-,-,301,-0.15,44.31,991.1,-,196,46.4,50.2,54.9,50.2,50.2,33,47.3,-,5120,109.4,75.69,2963.25,-,43.92,57.87,-,12.43,33.81,70.1,32.71,-117.13,58,1,-,-,-,60.8,12.62,11.63,13.54,7.38,229.17,0,100,0,-,-,75.54,76.43,43.53,33,-,11.63,8.6,27.35,0.11,6.19,6.19,0,-2.08,14.22,14.1
Mon Jan 05 05:01:38 PST 2026,05-Jan-2026 05:01:38.594,-117.12729238,32.71428503,33.97999954223633,3.7900924682617188,9.681396484375,69.30000305175781,-0.28,8.78,1.19,-0.08,60,358.23,21.49,-,108926.94,9.18,21494.06,108.93,177.64,44.05,13.57,0,308,5.95,1.83,1832.6,308,-11.98,13.33,20266.06,0,0,0,0,311,14.23,107.6,75.2,0,0,38.43,3.58,60.8,13.33,29480,-9.4,3,121,-,11.71,597,0,0,0,0,-,-,301,-0.15,44.31,991.1,-,196,46.4,50.2,54.9,50.2,50.2,33,47.3,-,5120,109.4,75.69,2963.25,-4138,43.92,57.87,2926.86,12.43,31.76,69.3,32.71,-117.13,57,1,-,-,-,60.8,12.62,11.63,13.54,7.38,229.17,0,100,0,32.16,146,76.01,76.43,43.53,33,-,11.63,8.6,27.35,0.13,7.2,7.2,0,-2.08,14.22,14.1
Mon Jan 05 05:01:39 PST 2026,05-Jan-2026 05:01:39.595,-117.12695318,32.71439262,34.11000061035156,3.7900924682617188,9.290283203125,69.19999694824219,0.1,9.42,0.74,-0.02,13.2,356.45,4.71,-,23844.77,41.94,4705.18,23.84,38.89,33.55,10.53,0,314,-5.4,-1.69,-1690.2,313,-11.98,13.33,4480.81,0,0,0,0,311,14.23,107.6,75.2,0,0,38.43,3.58,60.8,13.33,29480,-9.4,3,121,-,11.71,597,0,0,0,0,-,-,301,-0.15,44.31,991.1,-,196,46.4,50.2,54.9,50.2,50.2,33,47.3,-,5120,109.4,75.69,2963.25,-4138,43.92,57.87,2926.86,12.43,30.48,69.2,32.71,-117.13,58,1,-,13.33,13.33,60.8,12.62,11.63,13.54,7.38,229.17,0,100,0,32.16,146,76.3,76.43,43.53,33,-,11.63,8.6,27.35,0.15,7.72,7.72,0,-2.08,14.22,14.1
Mon Jan 05 05:01:40 PST 2026,05-Jan-2026 05:01:40.594,-117.12661162,32.71450139,34.25,3.7900924682617188,8.8736572265625,69.30000305175781,0.12,9.53,3.99,0.07,13.2,356.45,4.71,-,23081.74,43.32,4705.18,23.08,37.64,33.55,10.53,0,314,-5.4,-1.69,-1690.2,313,-11.98,13.33,4628.94,0,0,0,0,312.5,14.22,113,77,0,0,40.78,3.8,60.8,13.33,29480,-9.4,3,125,-,11.71,597,1,0,0,0,-,-,301,-0.15,44.31,991.1,-,196,46.4,50.2,54.9,50.2,50.2,33,47.3,-,5120,109.4,75.69,2963.25,-4138,43.92,57.87,2926.86,12.43,29.11,69.3,32.71,-117.13,58,1,-,13.33,13.33,60.8,12.62,11.63,13.54,7.38,229.17,0,100,0,32.16,146,76.62,76.43,43.53,33,-,11.63,8.6,27.35,0.17,8.73,8.73,0,-2.08,14.22,14.1
